zone,crop_type,growing_stage,stage_day_of_year,temperature,humidity,precipitation,yield_value,disease_probability
central_irrigated,potatoes,sowing,117,0.1,84.3,15.7,123.2,0.38
central_irrigated,potatoes,sowing,90,-4.0,80.7,10.7,112.0,0.37
central_irrigated,potatoes,emergence,110,-0.3,80.7,7.8,127.4,0.21
central_irrigated,potatoes,emergence,124,1.2,72.6,12.3,123.4,0.21
central_irrigated,potatoes,emergence,128,2.2,59.2,4.0,164.4,0.3
central_irrigated,potatoes,emergence,140,3.0,71.3,15.6,138.3,0.29
central_irrigated,potatoes,emergence,137,3.7,81.3,14.8,125.0,0.3
central_irrigated,potatoes,emergence,129,3.1,59.4,1.5,169.3,0.34
central_irrigated,potatoes,emergence,134,3.9,58.4,4.8,137.6,0.31
central_irrigated,potatoes,emergence,111,-0.8,58.5,14.9,111.8,0.34
central_irrigated,potatoes,tillering,150,6.9,72.1,2.1,177.0,0.23
central_irrigated,potatoes,tillering,155,5.5,75.5,15.8,175.6,0.21
central_irrigated,potatoes,tillering,168,7.0,62.6,4.6,202.9,0.29
central_irrigated,potatoes,tillering,164,7.7,62.1,7.9,148.9,0.31
central_irrigated,potatoes,tillering,133,3.9,68.5,11.4,175.9,0.17
central_irrigated,potatoes,tillering,143,4.5,69.3,5.9,165.0,0.17
central_irrigated,potatoes,tillering,158,7.7,63.5,15.6,194.2,0.15
central_irrigated,potatoes,tillering,147,6.4,63.8,16.2,174.1,0.21
central_irrigated,potatoes,heading_flowering,200,14.6,67.1,8.0,206.5,0.52
central_irrigated,potatoes,heading_flowering,208,15.2,70.5,24.2,166.4,0.36
central_irrigated,potatoes,heading_flowering,204,11.3,68.3,3.6,192.5,0.75
central_irrigated,potatoes,heading_flowering,193,13.6,77.9,21.7,207.8,0.46
central_irrigated,potatoes,heading_flowering,236,22.2,78.0,18.7,183.0,1.0
central_irrigated,potatoes,heading_flowering,240,20.8,76.3,18.1,234.3,1.0
central_irrigated,potatoes,heading_flowering,206,14.4,85.1,23.3,145.8,0.29
central_irrigated,potatoes,ripening_maturity,266,22.0,68.1,16.2,276.9,0.97
central_irrigated,potatoes,ripening_maturity,232,18.9,83.9,19.4,202.8,1.0
central_irrigated,potatoes,ripening_maturity,252,23.6,83.3,7.1,191.6,1.0
central_irrigated,potatoes,ripening_maturity,261,24.6,93.9,22.5,154.4,0.86
central_irrigated,potatoes,ripening_maturity,265,28.2,94.1,4.2,169.3,0.61
central_irrigated,potatoes,ripening_maturity,255,23.8,92.7,9.1,192.1,1.0
central_irrigated,potatoes,ripening_maturity,271,22.1,80.0,17.1,188.5,1.0
central_irrigated,tomatoes,sowing,93,-3.6,68.1,9.4,220.1,0.21
central_irrigated,tomatoes,sowing,115,0.3,70.2,17.0,243.7,0.37
central_irrigated,tomatoes,sowing,96,-3.0,78.7,2.4,150.0,0.15
central_irrigated,tomatoes,sowing,106,-1.1,76.0,16.0,158.1,0.42
central_irrigated,tomatoes,sowing,92,-3.6,82.8,14.2,151.8,0.31
central_irrigated,tomatoes,sowing,102,-1.9,72.5,2.8,195.6,0.26
central_irrigated,tomatoes,sowing,95,-3.3,74.1,12.9,194.5,0.29
central_irrigated,tomatoes,emergence,139,4.3,71.2,9.5,239.3,0.16
central_irrigated,tomatoes,emergence,132,3.6,81.3,8.4,223.0,0.41
central_irrigated,tomatoes,emergence,135,3.6,57.6,9.3,198.4,0.4
central_irrigated,tomatoes,emergence,110,-1.1,65.0,9.7,206.4,0.35
central_irrigated,tomatoes,emergence,124,1.3,58.7,14.3,196.9,0.29
central_irrigated,tomatoes,emergence,113,0.1,77.0,2.9,163.4,0.44
central_irrigated,tomatoes,emergence,122,0.4,68.7,16.8,262.2,0.37
central_irrigated,tomatoes,tillering,166,6.4,71.4,18.1,280.4,0.42
central_irrigated,tomatoes,tillering,167,7.1,62.0,20.7,250.2,0.41
central_irrigated,tomatoes,tillering,143,3.0,71.8,5.3,248.7,0.32
central_irrigated,tomatoes,tillering,153,4.8,70.0,4.5,278.4,0.27
central_irrigated,tomatoes,tillering,160,8.5,86.2,6.4,201.4,0.23
central_irrigated,tomatoes,tillering,149,6.3,68.1,6.1,271.1,0.37
central_irrigated,tomatoes,tillering,147,5.6,58.6,3.2,286.3,0.4
central_irrigated,tomatoes,heading_flowering,194,10.2,81.6,9.0,208.5,0.39
central_irrigated,tomatoes,heading_flowering,216,14.6,67.5,14.1,326.0,0.83
central_irrigated,tomatoes,heading_flowering,237,20.1,76.1,7.3,366.6,1.0
central_irrigated,tomatoes,heading_flowering,214,16.4,66.3,21.5,343.2,0.85
central_irrigated,tomatoes,heading_flowering,218,18.3,81.6,4.6,259.9,0.97
central_irrigated,tomatoes,heading_flowering,210,14.5,90.3,18.0,245.0,0.31
central_irrigated,tomatoes,heading_flowering,228,14.9,66.9,24.9,274.4,0.89
central_irrigated,tomatoes,heading_flowering,229,21.4,91.9,14.7,239.3,1.0
central_irrigated,tomatoes,ripening_maturity,239,16.2,70.1,20.9,339.4,0.86
central_irrigated,tomatoes,ripening_maturity,266,27.5,80.0,23.1,256.0,1.0
central_irrigated,tomatoes,ripening_maturity,234,16.7,88.8,7.7,240.4,0.46
central_irrigated,tomatoes,ripening_maturity,264,20.5,66.3,12.1,394.7,1.0
central_irrigated,tomatoes,ripening_maturity,248,19.3,78.6,18.7,265.0,0.79
central_irrigated,tomatoes,ripening_maturity,241,18.3,78.0,9.8,355.4,0.94
central_irrigated,tomatoes,ripening_maturity,246,16.9,72.0,21.7,367.8,0.43
central_irrigated,tomatoes,ripening_maturity,226,18.4,72.9,21.9,335.5,1.0
central_irrigated,onions,sowing,100,-2.5,85.0,13.0,105.8,0.15
central_irrigated,onions,sowing,107,-1.3,82.9,12.1,132.0,0.17
central_irrigated,onions,sowing,117,0.2,60.1,10.1,190.0,0.25
central_irrigated,onions,sowing,113,0.1,65.9,8.3,161.4,0.12
central_irrigated,onions,sowing,108,-1.2,83.6,12.2,139.4,0.18
central_irrigated,onions,sowing,102,-1.9,73.1,10.4,118.1,0.14
central_irrigated,onions,sowing,91,-3.8,56.7,2.0,130.0,0.14
central_irrigated,onions,emergence,122,0.7,64.0,3.3,194.3,0.21
central_irrigated,onions,emergence,128,1.7,67.2,16.3,142.9,0.16
central_irrigated,onions,emergence,127,1.4,86.3,14.5,127.8,0.26
central_irrigated,onions,emergence,113,-0.6,80.8,16.7,115.0,0.18
central_irrigated,onions,emergence,136,3.1,82.5,16.5,141.6,0.25
central_irrigated,onions,emergence,110,-0.3,65.9,15.4,149.5,0.28
central_irrigated,onions,emergence,130,1.7,81.0,11.8,138.8,0.14
central_irrigated,onions,tillering,162,5.9,69.2,16.0,203.3,0.11
central_irrigated,onions,tillering,132,3.0,58.1,1.3,147.5,0.14
central_irrigated,onions,tillering,169,8.4,63.3,14.6,222.9,0.15
central_irrigated,onions,tillering,144,4.6,81.3,16.3,169.2,0.17
central_irrigated,onions,tillering,136,3.4,64.4,7.1,195.8,0.26
central_irrigated,onions,tillering,134,2.8,65.6,2.8,152.5,0.16
central_irrigated,onions,tillering,170,9.3,79.6,1.8,199.2,0.19
central_irrigated,onions,ripening_maturity,226,15.2,69.9,2.3,292.4,0.51
central_irrigated,onions,ripening_maturity,227,19.8,67.1,8.3,300.9,0.46
central_irrigated,onions,ripening_maturity,252,18.8,83.3,27.1,263.6,0.78
central_irrigated,onions,ripening_maturity,228,18.4,72.8,6.8,268.7,0.58
central_irrigated,onions,ripening_maturity,222,17.0,87.8,13.0,177.4,0.19
central_irrigated,onions,ripening_maturity,245,17.2,73.0,3.0,206.9,0.26
central_irrigated,apples,sowing,114,-0.5,74.7,16.5,83.9,0.18
central_irrigated,apples,sowing,118,-0.3,74.6,11.0,101.3,0.32
central_irrigated,apples,sowing,93,-3.6,56.7,13.2,104.8,0.15
central_irrigated,apples,sowing,120,0.8,59.0,11.1,87.0,0.32
central_irrigated,apples,sowing,92,-3.7,78.4,8.6,94.2,0.27
central_irrigated,apples,sowing,119,0.7,85.2,5.9,109.6,0.28
central_irrigated,apples,sowing,104,-1.6,58.7,12.7,93.9,0.13
central_irrigated,apples,tillering,147,5.9,77.5,11.5,102.9,0.33
central_irrigated,apples,tillering,160,7.8,68.6,8.6,151.3,0.28
central_irrigated,apples,tillering,140,5.1,77.0,4.9,127.2,0.29
central_irrigated,apples,tillering,157,5.8,81.5,15.7,103.5,0.15
central_irrigated,apples,tillering,164,9.2,71.0,13.4,161.6,0.18
central_irrigated,apples,tillering,155,7.0,73.3,9.2,151.7,0.18
central_irrigated,apples,tillering,156,6.7,68.8,13.0,155.4,0.19
central_irrigated,apples,tillering,149,4.8,70.8,13.5,99.7,0.33
central_irrigated,apples,heading_flowering,196,11.9,70.0,16.3,134.4,0.46
central_irrigated,apples,heading_flowering,199,10.4,89.8,10.8,137.2,0.32
central_irrigated,apples,heading_flowering,197,13.7,62.7,7.1,168.1,0.6
central_irrigated,apples,heading_flowering,218,17.0,91.3,22.3,156.9,0.42
central_irrigated,apples,heading_flowering,217,18.3,73.9,17.6,148.5,1.0
central_irrigated,apples,heading_flowering,213,14.3,71.7,16.7,155.8,0.66
central_irrigated,apples,heading_flowering,221,14.1,62.1,2.3,190.7,0.7
central_irrigated,apples,heading_flowering,208,13.1,71.0,13.5,136.7,0.66
central_irrigated,apples,ripening_maturity,251,23.9,77.8,21.9,163.2,0.75
central_irrigated,apples,ripening_maturity,239,16.0,81.1,4.9,167.2,0.43
central_irrigated,apples,ripening_maturity,264,25.9,92.8,24.6,157.2,1.0
central_irrigated,apples,ripening_maturity,267,27.8,86.8,2.8,150.1,1.0
central_irrigated,apples,ripening_maturity,235,15.2,85.1,3.3,124.8,0.53
central_irrigated,apples,ripening_maturity,275,22.3,87.4,13.9,182.6,0.76
central_irrigated,apples,ripening_maturity,245,24.2,66.8,20.4,159.8,0.66
central_irrigated,apples,ripening_maturity,231,19.0,67.1,14.5,164.2,0.93
central_irrigated,plums,sowing,92,-3.7,64.2,8.7,63.3,0.15
central_irrigated,plums,sowing,99,-2.7,84.6,15.4,64.8,0.31
central_irrigated,plums,sowing,93,-3.5,67.2,3.5,57.5,0.3
central_irrigated,plums,sowing,90,-4.0,66.0,14.7,69.4,0.15
central_irrigated,plums,sowing,118,0.1,73.6,8.2,78.8,0.23
central_irrigated,plums,sowing,119,0.8,86.1,1.8,78.7,0.24
central_irrigated,plums,sowing,104,-1.9,66.8,6.7,91.6,0.18
central_irrigated,plums,sowing,94,-3.3,73.6,14.1,60.5,0.14
central_irrigated,plums,tillering,155,6.5,83.2,1.8,81.9,0.22
central_irrigated,plums,tillering,162,7.2,71.5,6.7,85.8,0.28
central_irrigated,plums,tillering,160,8.1,67.6,5.8,93.6,0.14
central_irrigated,plums,tillering,165,8.9,72.6,5.2,90.1,0.31
central_irrigated,plums,tillering,170,9.4,69.7,5.3,101.6,0.17
central_irrigated,plums,tillering,144,5.4,69.5,8.0,77.2,0.22
central_irrigated,plums,tillering,132,2.0,69.0,2.1,76.9,0.29
central_irrigated,plums,heading_flowering,240,19.8,83.9,3.4,121.9,0.96
central_irrigated,plums,heading_flowering,214,16.6,77.8,19.2,132.5,0.59
central_irrigated,plums,heading_flowering,232,21.8,68.5,22.8,133.9,1.0
central_irrigated,plums,heading_flowering,228,21.3,85.8,2.8,134.6,1.0
central_irrigated,plums,heading_flowering,222,13.7,87.2,16.8,93.6,0.23
central_irrigated,plums,heading_flowering,207,16.5,90.6,8.5,88.8,0.37
central_irrigated,plums,heading_flowering,194,13.3,62.1,8.0,103.4,0.49
central_irrigated,plums,ripening_maturity,272,25.1,90.1,2.4,121.8,1.0
central_irrigated,plums,ripening_maturity,273,29.2,71.2,8.3,101.2,0.75
central_irrigated,plums,ripening_maturity,244,20.1,63.7,20.2,137.7,0.46
central_irrigated,plums,ripening_maturity,280,30.9,74.1,19.4,115.7,0.87
central_irrigated,plums,ripening_maturity,246,21.3,86.6,7.5,124.2,1.0
central_irrigated,plums,ripening_maturity,247,22.2,90.3,8.5,129.5,0.57
central_irrigated,plums,ripening_maturity,233,22.1,86.9,3.8,99.2,0.99
central_irrigated,plums,ripening_maturity,260,21.7,66.9,16.7,122.6,0.45
central_irrigated,grapes,sowing,97,-2.8,71.4,10.7,50.6,0.24
central_irrigated,grapes,sowing,120,0.6,69.4,2.2,53.3,0.29
central_irrigated,grapes,sowing,105,-1.4,79.8,10.9,53.7,0.26
central_irrigated,grapes,sowing,93,-3.5,79.8,7.4,52.2,0.33
central_irrigated,grapes,sowing,103,-1.8,60.2,3.6,50.3,0.3
central_irrigated,grapes,sowing,117,0.8,75.9,2.3,52.6,0.16
central_irrigated,grapes,sowing,98,-2.6,74.7,9.3,60.0,0.22
central_irrigated,grapes,tillering,165,6.8,69.7,19.2,82.0,0.3
central_irrigated,grapes,tillering,137,3.0,74.4,5.9,56.5,0.16
central_irrigated,grapes,tillering,139,4.3,81.9,8.4,70.8,0.22
central_irrigated,grapes,tillering,131,2.0,61.9,1.9,62.5,0.28
central_irrigated,grapes,tillering,147,4.2,83.7,11.8,52.0,0.13
central_irrigated,grapes,tillering,162,9.0,84.3,17.6,83.8,0.24
central_irrigated,grapes,tillering,163,6.6,76.9,14.2,77.7,0.23
central_irrigated,grapes,tillering,149,4.1,84.0,4.0,62.0,0.17
central_irrigated,grapes,heading_flowering,223,14.2,79.5,2.3,80.9,0.6
central_irrigated,grapes,heading_flowering,204,13.4,67.3,13.0,113.4,0.55
central_irrigated,grapes,heading_flowering,211,16.7,67.8,17.9,92.9,0.71
central_irrigated,grapes,heading_flowering,198,14.3,79.1,4.4,98.9,0.69
central_irrigated,grapes,heading_flowering,240,21.5,66.2,20.4,96.0,0.51
central_irrigated,grapes,heading_flowering,224,19.8,67.5,20.6,109.9,0.6
central_irrigated,grapes,heading_flowering,195,11.6,79.7,10.7,67.9,0.68
central_irrigated,grapes,ripening_maturity,278,21.5,87.2,21.5,76.1,1.0
central_irrigated,grapes,ripening_maturity,260,19.9,64.6,1.9,114.8,0.59
central_irrigated,grapes,ripening_maturity,245,23.2,80.2,9.0,88.1,0.79
central_irrigated,grapes,ripening_maturity,251,23.0,92.4,25.9,87.8,1.0
central_irrigated,grapes,ripening_maturity,240,23.0,85.3,18.2,96.8,0.95
central_irrigated,grapes,ripening_maturity,277,24.2,81.2,15.9,80.6,0.79
central_irrigated,grapes,ripening_maturity,223,16.1,62.8,4.4,90.0,0.27
central_irrigated,grapes,ripening_maturity,224,19.2,82.2,17.5,100.1,0.73
azov,winter_wheat,sowing,90,-3.0,68.6,4.9,22.7,0.22
azov,winter_wheat,sowing,113,1.2,59.0,4.2,21.4,0.23
azov,winter_wheat,sowing,106,-0.4,56.2,4.8,22.4,0.16
azov,winter_wheat,sowing,110,-0.2,58.6,6.8,26.2,0.09
azov,winter_wheat,sowing,103,-1.0,71.4,6.4,27.1,0.12
azov,winter_wheat,sowing,111,0.8,63.5,11.7,28.8,0.17
azov,winter_wheat,sowing,96,-2.1,57.6,5.2,21.4,0.22
azov,winter_wheat,tillering,152,6.1,54.9,0.5,23.2,0.23
azov,winter_wheat,tillering,149,7.4,83.1,4.9,22.4,0.23
azov,winter_wheat,tillering,133,2.9,62.8,2.8,25.8,0.16
azov,winter_wheat,tillering,132,3.0,72.9,12.9,25.3,0.18
azov,winter_wheat,tillering,144,6.6,82.0,11.2,26.3,0.25
azov,winter_wheat,tillering,136,5.2,54.9,7.3,23.9,0.16
azov,winter_wheat,booting,189,12.5,61.7,5.9,41.7,0.36
azov,winter_wheat,booting,186,13.2,81.5,6.5,25.7,0.51
azov,winter_wheat,booting,190,13.1,82.5,10.7,28.1,0.28
azov,winter_wheat,booting,167,10.4,70.6,7.8,27.6,0.2
azov,winter_wheat,booting,169,7.7,76.7,2.6,23.8,0.19
azov,winter_wheat,booting,187,14.8,66.4,2.2,37.9,0.48
azov,winter_wheat,heading_flowering,204,14.0,66.2,3.9,42.7,0.23
azov,winter_wheat,heading_flowering,198,16.1,73.6,10.1,40.8,0.45
azov,winter_wheat,heading_flowering,211,15.0,73.6,5.6,34.0,0.44
azov,winter_wheat,heading_flowering,236,21.2,79.0,17.9,34.3,0.78
azov,winter_wheat,heading_flowering,235,19.4,73.2,12.4,43.9,0.5
azov,winter_wheat,heading_flowering,220,17.9,59.1,5.7,36.8,0.39
azov,winter_wheat,heading_flowering,233,17.1,66.1,5.8,42.9,0.18
azov,winter_wheat,ripening_maturity,257,20.8,62.1,17.2,46.0,0.38
azov,winter_wheat,ripening_maturity,227,15.6,70.5,16.2,38.8,0.28
azov,winter_wheat,ripening_maturity,278,22.9,63.5,16.0,44.7,0.36
azov,winter_wheat,ripening_maturity,234,16.0,58.4,16.0,32.5,0.2
azov,winter_wheat,ripening_maturity,274,26.9,76.7,21.0,41.3,1.0
azov,winter_wheat,ripening_maturity,260,27.7,83.4,7.1,38.8,0.85
azov,winter_wheat,ripening_maturity,220,18.4,58.4,5.8,45.6,0.24
azov,winter_wheat,ripening_maturity,242,17.7,85.6,7.1,38.0,0.51
azov,spring_barley,sowing,114,0.3,60.6,9.8,19.3,0.27
azov,spring_barley,sowing,103,-1.2,62.2,11.1,19.6,0.27
azov,spring_barley,sowing,102,-1.1,67.8,7.4,20.4,0.26
azov,spring_barley,sowing,113,0.0,71.9,12.1,21.6,0.13
azov,spring_barley,sowing,97,-1.8,56.8,9.7,16.3,0.11
azov,spring_barley,sowing,98,-1.7,75.8,6.4,15.9,0.3
azov,spring_barley,sowing,119,2.1,73.9,7.3,20.2,0.15
azov,spring_barley,sowing,116,0.5,57.4,2.7,16.6,0.16
azov,spring_barley,emergence,110,0.1,60.0,4.3,16.9,0.25
azov,spring_barley,emergence,114,0.7,70.3,10.3,18.5,0.23
azov,spring_barley,emergence,139,5.6,65.4,9.1,20.4,0.21
azov,spring_barley,emergence,119,1.8,56.0,11.7,19.5,0.17
azov,spring_barley,emergence,131,2.5,69.8,4.0,16.5,0.26
azov,spring_barley,emergence,118,1.3,56.4,2.4,20.3,0.29
azov,spring_barley,emergence,130,3.5,70.4,7.7,24.3,0.23
azov,spring_barley,emergence,126,2.7,78.4,12.4,15.6,0.15
azov,spring_barley,tillering,163,7.6,74.6,4.2,21.2,0.14
azov,spring_barley,tillering,155,7.2,74.5,3.7,17.9,0.17
azov,spring_barley,tillering,158,8.7,71.5,4.5,21.6,0.3
azov,spring_barley,tillering,156,6.1,80.7,14.8,17.4,0.11
azov,spring_barley,tillering,153,5.5,63.9,6.6,26.2,0.25
azov,spring_barley,tillering,161,8.5,78.8,0.8,24.7,0.29
azov,spring_barley,tillering,130,2.4,62.4,1.6,20.6,0.25
azov,spring_barley,tillering,165,8.2,70.2,14.7,21.2,0.23
azov,spring_barley,heading_flowering,231,20.7,84.8,9.9,25.8,0.54
azov,spring_barley,heading_flowering,204,15.4,77.1,4.0,28.5,0.27
azov,spring_barley,heading_flowering,219,14.2,64.7,13.3,31.5,0.34
azov,spring_barley,heading_flowering,208,18.0,58.2,17.0,27.4,0.35
azov,spring_barley,heading_flowering,216,14.3,78.4,17.3,26.8,0.49
azov,spring_barley,heading_flowering,238,23.7,82.3,6.2,27.2,0.47
azov,spring_barley,heading_flowering,239,20.3,73.7,5.5,32.6,0.72
azov,spring_barley,heading_flowering,229,19.3,60.3,6.4,25.9,0.36
azov,spring_barley,ripening_maturity,250,18.5,76.1,11.6,30.8,0.8
azov,spring_barley,ripening_maturity,280,30.4,66.6,16.3,31.6,0.55
azov,spring_barley,ripening_maturity,232,22.9,63.1,7.1,34.7,0.55
azov,spring_barley,ripening_maturity,264,24.5,84.6,5.3,31.4,1.0
azov,spring_barley,ripening_maturity,266,24.2,68.4,8.1,31.0,0.79
azov,spring_barley,ripening_maturity,220,19.9,86.7,9.7,24.6,0.41
azov,spring_barley,ripening_maturity,274,26.8,62.7,7.0,30.9,0.29
azov,spring_barley,ripening_maturity,238,21.4,83.0,3.3,32.4,0.94
azov,corn,sowing,114,1.2,70.2,1.4,38.5,0.16
azov,corn,sowing,99,-1.8,58.6,1.0,33.4,0.3
azov,corn,sowing,98,-1.9,63.4,7.6,32.7,0.2
azov,corn,sowing,101,-1.0,57.6,1.6,30.1,0.27
azov,corn,sowing,97,-2.0,63.5,7.4,30.4,0.17
azov,corn,sowing,96,-2.0,63.6,4.2,32.9,0.16
azov,corn,emergence,121,2.4,53.0,12.2,31.9,0.12
azov,corn,emergence,123,1.9,71.8,9.4,40.3,0.33
azov,corn,emergence,128,2.4,68.3,13.0,40.0,0.26
azov,corn,emergence,118,0.9,64.0,10.8,47.0,0.25
azov,corn,emergence,137,4.2,78.1,10.7,32.4,0.25
azov,corn,emergence,114,1.2,75.3,9.1,29.7,0.24
azov,corn,emergence,110,-0.1,67.0,1.8,39.0,0.11
azov,corn,emergence,135,4.5,79.7,5.5,44.1,0.18
azov,corn,tillering,139,4.8,59.0,7.7,49.0,0.25
azov,corn,tillering,133,3.9,80.1,12.6,38.1,0.18
azov,corn,tillering,150,5.5,72.2,7.5,36.6,0.16
azov,corn,tillering,147,6.2,73.4,5.2,45.1,0.21
azov,corn,tillering,165,8.2,71.1,4.1,50.5,0.3
azov,corn,tillering,137,3.6,61.8,7.2,49.0,0.21
azov,corn,tillering,142,6.2,62.0,5.8,43.8,0.3
azov,corn,tillering,167,7.4,78.3,15.2,48.5,0.24
azov,corn,heading_flowering,223,15.9,69.9,9.6,67.8,0.34
azov,corn,heading_flowering,206,12.4,77.8,1.1,59.1,0.62
azov,corn,heading_flowering,221,15.8,71.3,7.8,66.0,0.24
azov,corn,heading_flowering,202,15.6,78.0,0.5,55.8,0.49
azov,corn,heading_flowering,225,20.3,73.8,16.2,55.1,0.88
azov,corn,heading_flowering,212,19.3,75.5,13.9,49.4,0.45
azov,corn,heading_flowering,231,20.2,62.6,1.7,61.4,0.33
azov,corn,ripening_maturity,252,26.3,80.2,11.5,60.1,0.78
azov,corn,ripening_maturity,260,19.4,88.6,13.9,48.0,0.66
azov,corn,ripening_maturity,277,27.2,80.7,16.9,61.2,0.77
azov,corn,ripening_maturity,279,23.1,66.4,1.3,57.8,0.96
azov,corn,ripening_maturity,221,19.2,72.2,13.2,60.8,0.55
azov,corn,ripening_maturity,232,16.8,63.6,13.3,63.3,0.32
azov,corn,ripening_maturity,234,18.2,73.2,7.9,70.3,0.56
azov,oats,sowing,107,-0.5,74.0,5.0,16.4,0.11
azov,oats,sowing,114,1.1,58.1,11.1,15.5,0.16
azov,oats,sowing,99,-1.4,69.9,0.5,13.7,0.15
azov,oats,sowing,102,-1.2,75.6,0.7,12.1,0.22
azov,oats,sowing,97,-1.9,51.2,1.2,14.8,0.12
azov,oats,sowing,113,0.7,67.1,10.5,15.1,0.14
azov,oats,sowing,103,-1.0,80.7,4.9,13.0,0.15
azov,oats,sowing,110,-0.3,71.6,5.5,17.8,0.18
azov,oats,tillering,148,5.4,66.2,12.4,17.2,0.11
azov,oats,tillering,136,4.8,63.7,12.7,16.3,0.13
azov,oats,tillering,132,3.0,71.9,2.6,14.2,0.09
azov,oats,tillering,158,8.3,81.5,10.4,16.9,0.1
azov,oats,tillering,165,10.6,76.4,11.3,16.8,0.31
azov,oats,tillering,163,10.2,82.8,14.8,15.4,0.43
azov,oats,tillering,139,3.8,78.3,7.9,18.9,0.2
azov,oats,booting,198,12.3,81.6,7.0,19.2,0.23
azov,oats,booting,165,10.3,55.5,13.7,18.5,0.35
azov,oats,booting,196,11.7,83.8,15.5,18.2,0.18
azov,oats,booting,187,13.9,61.6,13.4,23.3,0.21
azov,oats,booting,178,9.0,70.1,1.5,19.9,0.17
azov,oats,booting,185,11.9,79.4,15.8,18.3,0.23
azov,oats,booting,197,15.9,60.0,1.0,29.4,0.31
azov,oats,heading_flowering,212,17.3,74.2,2.3,29.6,0.27
azov,oats,heading_flowering,213,18.9,69.2,14.1,32.0,0.39
azov,oats,heading_flowering,209,18.6,61.4,0.7,24.1,0.22
azov,oats,heading_flowering,193,12.5,57.1,11.0,23.0,0.18
azov,oats,heading_flowering,227,18.6,57.8,3.2,24.7,0.36
azov,oats,heading_flowering,191,11.9,81.9,5.4,21.9,0.45
azov,oats,heading_flowering,201,14.5,78.2,2.4,21.5,0.16
azov,oats,ripening_maturity,226,17.8,72.1,1.2,29.5,0.45
azov,oats,ripening_maturity,273,26.5,60.3,20.2,30.2,0.31
azov,oats,ripening_maturity,280,29.5,73.5,13.7,25.1,0.46
azov,oats,ripening_maturity,234,19.4,72.4,7.7,23.0,0.38
azov,oats,ripening_maturity,263,25.6,74.7,14.5,24.6,0.33
azov,oats,ripening_maturity,229,17.4,75.1,10.6,25.0,0.37
azov,oats,ripening_maturity,277,23.6,62.0,17.0,25.3,0.33
azov,rye,sowing,103,-1.1,66.2,6.6,15.3,0.08
azov,rye,sowing,94,-2.3,55.1,0.8,12.4,0.11
azov,rye,sowing,101,-1.2,54.4,7.4,12.6,0.19
azov,rye,sowing,91,-2.8,75.5,9.4,14.5,0.18
azov,rye,sowing,112,0.3,51.2,6.0,15.5,0.19
azov,rye,sowing,90,-3.0,72.9,2.3,15.5,0.08
azov,rye,sowing,95,-2.1,60.5,4.7,17.5,0.08
azov,rye,sowing,117,1.6,66.4,6.2,15.8,0.15
azov,rye,tillering,152,8.4,68.1,13.7,18.1,0.2
azov,rye,tillering,159,6.5,59.3,3.6,21.3,0.18
azov,rye,tillering,147,7.2,56.1,2.5,23.5,0.13
azov,rye,tillering,165,10.6,82.6,15.2,22.9,0.19
azov,rye,tillering,143,4.3,80.6,8.1,15.7,0.1
azov,rye,tillering,133,3.0,64.7,2.4,21.0,0.18
azov,rye,tillering,160,8.6,73.3,1.9,19.9,0.21
azov,rye,tillering,142,5.8,59.1,1.6,18.5,0.1
azov,rye,booting,198,15.9,78.9,16.2,20.7,0.25
azov,rye,booting,165,10.3,68.6,0.9,25.6,0.25
azov,rye,booting,163,10.0,61.5,4.0,21.2,0.23
azov,rye,booting,167,9.4,77.8,10.9,25.0,0.07
azov,rye,booting,177,9.7,62.4,4.0,25.5,0.08
azov,rye,booting,160,9.0,55.2,12.7,25.1,0.21
azov,rye,booting,174,11.8,83.4,9.4,24.2,0.37
azov,rye,heading_flowering,220,16.8,65.0,5.8,24.4,0.37
azov,rye,heading_flowering,192,12.9,68.1,14.4,23.5,0.37
azov,rye,heading_flowering,193,13.2,75.0,2.5,20.7,0.21
azov,rye,heading_flowering,218,20.2,63.1,1.6,30.7,0.18
azov,rye,heading_flowering,224,14.9,71.1,7.8,22.0,0.33
azov,rye,heading_flowering,206,16.4,69.0,2.5,22.9,0.35
azov,rye,heading_flowering,213,18.0,60.3,9.5,25.6,0.19
azov,rye,ripening_maturity,238,22.1,82.7,2.9,22.5,0.74
azov,rye,ripening_maturity,266,21.5,76.8,20.9,23.4,0.44
azov,rye,ripening_maturity,252,20.1,67.0,10.6,30.3,0.55
azov,rye,ripening_maturity,224,14.7,84.2,1.3,20.5,0.3
azov,rye,ripening_maturity,232,20.5,83.9,8.0,20.8,0.57
azov,rye,ripening_maturity,277,24.2,68.3,9.3,25.3,0.42
azov,rye,ripening_maturity,250,18.9,66.0,18.7,31.7,0.22
azov,millet,sowing,99,-1.8,63.7,3.3,11.1,0.15
azov,millet,sowing,93,-2.5,71.1,6.9,8.1,0.18
azov,millet,sowing,104,-1.0,53.7,6.4,10.4,0.15
azov,millet,sowing,115,0.8,79.0,0.9,11.3,0.09
azov,millet,sowing,119,1.7,57.5,1.1,9.3,0.13
azov,millet,sowing,95,-2.1,72.4,10.5,9.4,0.08
azov,millet,sowing,100,-1.5,72.9,7.4,9.4,0.18
azov,millet,sowing,120,1.0,76.5,7.7,9.7,0.17
azov,millet,emergence,116,1.4,60.7,11.0,10.5,0.14
